compound,source,canonical_smiles,mw,logp,tpsa,hbd,hba,heavy_atoms,rings
BI-1,README.md embedded MOL record,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,349.362,3.895,67.01,2,4,24,3
BI-6,README.md embedded MOL record,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,363.389,4.204,67.01,2,4,25,3
OX-11,README.md embedded MOL record,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,455.5,1.213,129.84,1,8,32,4
T2Z14,README.md embedded MOL record,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,642.478,2.088,151.81,1,8,43,6
T2Z5,README.md embedded MOL record,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,541.391,1.723,120.58,1,7,34,5
T2Z6,README.md embedded MOL record,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,496.94,1.614,120.58,1,7,34,5
T2Z9,README.md embedded MOL record,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,598.027,1.979,151.81,1,8,43,6
X1V11,README.md embedded MOL record,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,362.436,2.398,106.67,2,7,24,3
X1V19,README.md embedded MOL record,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,357.42,2.261,121.23,2,7,24,3
X1V20,README.md embedded MOL record,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,333.398,1.785,110.33,2,7,22,3
X1V26,README.md embedded MOL record,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,382.854,2.749,117.67,3,7,24,3
X1V9,README.md embedded MOL record,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,346.437,2.698,97.44,2,6,23,3
