query_target_class,decoy_reference_class,molecule_chembl_id,canonical_smiles,decoy_label,mw,logp,scaffold_smiles
70S_ribosome,DHFR,CHEMBL353764,Nc1nc(N)c2c(ccc3[nH]ccc32)n1,cross_target_decoy_not_inactive,199.217,1.2755,c1ncc2c(ccc3[nH]ccc32)n1
70S_ribosome,LpxC,CHEMBL324231,CCCc1cccc(C2=N[C@@H](C(=O)NO)CO2)c1,cross_target_decoy_not_inactive,248.28199999999995,1.2899,c1ccc(C2=NCCO2)cc1
70S_ribosome,FabI,CHEMBL4211939,O=C(Cc1ccccc1Cl)N1CCC(c2ccc3c(c2)OCO3)C1,cross_target_decoy_not_inactive,343.8100000000001,3.6273000000000026,O=C(Cc1ccccc1)N1CCC(c2ccc3c(c2)OCO3)C1
70S_ribosome,LpxC,CHEMBL321146,CCOc1cc(C2=NC(C(=O)NO)CO2)ccc1F,cross_target_decoy_not_inactive,268.24399999999997,0.8752,c1ccc(C2=NCCO2)cc1
70S_ribosome,MurC,CHEMBL4474283,O=C(O)c1ccc(C(=O)N2CCc3c(c(=O)oc4ccccc34)C2)cc1,cross_target_decoy_not_inactive,349.342,2.689700000000001,O=C(c1ccccc1)N1CCc2c(c(=O)oc3ccccc23)C1
70S_ribosome,MurC,CHEMBL199457,COc1ccc(C2=C(O)O/C(=C\c3cccc4ccccc34)C2=O)cc1,cross_target_decoy_not_inactive,344.3660000000001,4.715400000000003,O=C1C(=Cc2cccc3ccccc23)OC=C1c1ccccc1
70S_ribosome,LpxC,CHEMBL2012185,CC(CO)(OCc1ccc(-c2ccccc2)cc1)C(=O)NO,cross_target_decoy_not_inactive,301.34200000000004,2.1266,c1ccc(-c2ccccc2)cc1
70S_ribosome,FabI,CHEMBL111031,CN(Cc1cc2ccccc2n1C)C(=O)/C=C/c1cnc(N)nc1,cross_target_decoy_not_inactive,321.384,2.2222999999999997,O=C(C=Cc1cncnc1)NCc1cc2ccccc2[nH]1
70S_ribosome,MurC,CHEMBL4538051,O=C(O)c1ccc(C(=O)N2CCc3c(c(=O)[nH]c4ccccc34)C2)cc1,cross_target_decoy_not_inactive,348.358,2.4248000000000003,O=C(c1ccccc1)N1CCc2c(c(=O)[nH]c3ccccc23)C1
70S_ribosome,DHFR,CHEMBL58038,COc1cc(Cc2cnc(N)nc2N)cc2c1NCCC2C,cross_target_decoy_not_inactive,299.3780000000001,2.1594999999999995,c1ncc(Cc2ccc3c(c2)CCCN3)cn1
70S_ribosome,FabI,CHEMBL2178284,CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F,cross_target_decoy_not_inactive,293.26899999999995,3.1240000000000006,c1ccc(Oc2ccccc2)cc1
70S_ribosome,DHFR,CHEMBL58744,Cc1ccnc2c(N)cc(Cc3cnc(N)nc3N)cc12,cross_target_decoy_not_inactive,280.335,1.6706199999999995,c1cnc2ccc(Cc3cncnc3)cc2c1
70S_ribosome,FabI,CHEMBL5527934,Cn1c(C2CC(=O)N(c3cccc4ccccc34)C2)nc2ccccc21,cross_target_decoy_not_inactive,341.4140000000001,4.247000000000003,O=C1CC(c2nc3ccccc3[nH]2)CN1c1cccc2ccccc12
70S_ribosome,DHPS,CHEMBL160727,Nc1nc(O)c(N=O)c(NCCCOc2ccc(O)cc2)n1,cross_target_decoy_not_inactive,305.2939999999999,1.7488999999999997,c1ccc(OCCCNc2ccncn2)cc1
70S_ribosome,DHFR,CHEMBL60636,CC1CC(C)c2cc(Cc3cnc(N)nc3N)cc(Cl)c2N1,cross_target_decoy_not_inactive,317.824,3.1928,c1ncc(Cc2ccc3c(c2)CCCN3)cn1
70S_ribosome,FabI,CHEMBL488937,Cc1c(N)cccc1Cn1ccc(OCCc2cccs2)cc1=O,cross_target_decoy_not_inactive,340.448,3.470220000000002,O=c1cc(OCCc2cccs2)ccn1Cc1ccccc1
70S_ribosome,D-Ala-D-Ala,CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,cross_target_decoy_not_inactive,270.24,2.576800000000001,O=c1cc(-c2ccccc2)oc2ccccc12
70S_ribosome,LpxC,CHEMBL3647087,CC(CCc1ccc(-c2cccc(F)c2)cc1)(C(=O)NO)S(C)(=O)=O,cross_target_decoy_not_inactive,365.42600000000004,2.734000000000001,c1ccc(-c2ccccc2)cc1
70S_ribosome,LpxH,CHEMBL3672344,CC(CN)c1ccc(-c2c(O)ccc3[nH]c(=O)c4sccc4c23)cc1Cl,cross_target_decoy_not_inactive,384.88800000000003,4.831000000000003,O=c1[nH]c2cccc(-c3ccccc3)c2c2ccsc12
70S_ribosome,LpxC,CHEMBL3647079,CC(CCc1ccc(OCCC2CC2)cc1)(C(=O)NO)S(C)(=O)=O,cross_target_decoy_not_inactive,355.456,2.1068,c1ccc(OCCC2CC2)cc1
70S_ribosome,FtsZ,CHEMBL3416826,O=C1NC(=S)S/C1=C/c1ccc(-c2cccc(C(F)(F)F)c2)o1,cross_target_decoy_not_inactive,355.3620000000001,4.454200000000001,O=C1NC(=S)SC1=Cc1ccc(-c2ccccc2)o1
70S_ribosome,MurA,CHEMBL199929,O=C1O/C(=C\c2ccc(-c3ccccc3)cc2)C(O)=C1c1ccc2ccccc2c1,cross_target_decoy_not_inactive,390.4380000000001,6.373800000000005,O=C1OC(=Cc2ccc(-c3ccccc3)cc2)C=C1c1ccc2ccccc2c1
70S_ribosome,FabI,CHEMBL5768692,O=C1CCc2cc(/C=C/C(=O)N3CC4C=C(c5ccsc5)CC4C3)cnc2N1,cross_target_decoy_not_inactive,391.4960000000001,3.6029000000000018,O=C1CCc2cc(C=CC(=O)N3CC4C=C(c5ccsc5)CC4C3)cnc2N1
70S_ribosome,FtsZ,CHEMBL1926723,CCOC(=O)Nc1cc(NCCN(C)C)c2nc(-c3ccco3)c(-c3ccco3)nc2n1,cross_target_decoy_not_inactive,436.47200000000015,4.086700000000003,c1coc(-c2nc3cccnc3nc2-c2ccco2)c1
70S_ribosome,DHPS,CHEMBL158792,CS(=O)(=O)c1ccc(OCCCNc2nc(N)nc(O)c2N=O)cc1,cross_target_decoy_not_inactive,367.38700000000006,1.4467999999999999,c1ccc(OCCCNc2ccncn2)cc1
