molecule_chembl_id,canonical_smiles,pchembl_value,standard_type,standard_value,target_chembl_id,organism,reference_class,canonical_smiles_rdkit,scaffold_smiles,mw,logp,hba,hbd,valid_structure,pchembl_numeric
CHEMBL1232510,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C,9.22,Kd,0.6,CHEMBL2363135,Bacteria,70S_ribosome,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C,O=C1CC(=O)OCC2OC(=O)N(CCCCn3cc(-c4ccccc4)nn3)C2CC(=O)CCCC(OC2CCCCO2)C1,845.0229999999997,4.603500000000005,14,2,True,9.22
CHEMBL4463502,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N(C)C)c4)nn3)C(=O)O[C@]12C,8.85,Kd,1.4,CHEMBL2363135,Bacteria,70S_ribosome,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N(C)C)c4)nn3)C(=O)O[C@]12C,O=C1CC(=O)OCC2OC(=O)N(CCCCn3cc(-c4ccccc4)nn3)C2CC(=O)CCCC(OC2CCCCO2)C1,873.0769999999997,5.087300000000007,14,1,True,8.85
CHEMBL4203781,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN=[N+]=[N-])C(=O)O[C@]12C,8.68,Kd,2.1,CHEMBL2363135,Bacteria,70S_ribosome,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCN=[N+]=[N-])C(=O)O[C@]12C,O=C1CC(=O)OCC2OC(=O)NC2CC(=O)CCCC(OC2CCCCO2)C1,727.8719999999998,4.372900000000004,12,1,True,8.68
CHEMBL532,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,8.678,Kd,2100.0,CHEMBL2363135,Bacteria,70S_ribosome,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1,733.9370000000002,1.785600000000004,14,5,True,8.678
CHEMBL4128170,CO[C@H]1/C=C/[C@@](C)(O)/C=C/C(=O)O[C@H](C)[C@@H](C)CC/C=C/1C,8.62,Kd,2.4,CHEMBL2363135,Bacteria,70S_ribosome,CO[C@H]1/C=C/[C@@](C)(O)/C=C/C(=O)O[C@H](C)[C@@H](C)CC/C=C/1C,O=C1C=CCC=CCC=CCCCCO1,308.41800000000006,3.1727000000000016,4,1,True,8.62
CHEMBL3335485,CC[C@H]1OC(=O)[C@H](C)C(=O)C[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,8.19,Kd,6.4,CHEMBL2363135,Bacteria,70S_ribosome,CC[C@H]1OC(=O)[C@H](C)C(=O)C[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,O=C1CC(=O)OCC2OC(=O)N(CCCCn3cnc(-c4cccnc4)c3)C2CC(=O)CCCC(OC2CCCCO2)C1,797.9909999999998,4.683200000000005,13,1,True,8.19
CHEMBL1136,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,8.19,Kd,6.4,CHEMBL2363135,Bacteria,70S_ribosome,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,O=C1CC(=O)OCC2OC(=O)N(CCCCn3cnc(-c4cccnc4)c3)C2CC(=O)CCCC(OC2CCCCO2)C1,812.0179999999997,4.929200000000005,13,1,True,8.19
CHEMBL1688546,C[C@H]1C(=O)O[C@H](CCNC(=O)Cc2cccc(-c3ccco3)c2)[C@@]2(C)OC(=O)N[C@@H]2[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)C2O)[C@@H](C)C1=O,8.12,Kd,7.5,CHEMBL2363135,Bacteria,70S_ribosome,C[C@H]1C(=O)O[C@H](CCNC(=O)Cc2cccc(-c3ccco3)c2)[C@@]2(C)OC(=O)N[C@@H]2[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)C2O)[C@@H](C)C1=O,O=C1CC(=O)OC(CCNC(=O)Cc2cccc(-c3ccco3)c2)C2OC(=O)NC2CC(=O)CCCC(OC2CCCCO2)C1,797.9430000000002,3.4228000000000023,13,4,True,8.12
CHEMBL215226,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,8.05,IC50,8.9,CHEMBL2363135,Bacteria,70S_ribosome,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,C1CCC(OC2CCCC(OC3CCCCO3)C2)OC1,496.5580000000003,-5.6129999999999995,14,10,True,8.05
CHEMBL1572,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,7.7,IC50,20.0,CHEMBL2363135,Bacteria,70S_ribosome,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,C1=COC(OC2CCCC(OC3CCCCO3)C2)CC1,475.58700000000016,-3.200699999999992,12,8,True,7.7
CHEMBL5209318,CCCCCCCCCCCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCNCCCCNCCCN,7.66,Ki,21.7,CHEMBL2363135,Bacteria,70S_ribosome,CCCCCCCCCCCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCNCCCCNCCCN,O=C(NCC(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1C(=O)N1CCCC1)C1CCCN1,1241.6879999999999,-0.06999000000002875,14,16,True,7.66
CHEMBL4538701,CCC[C@H]1[C@H](O)[C@@H](N)[C@@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)O[C@@H]1CO,7.51,IC50,31.0,CHEMBL2363135,Bacteria,70S_ribosome,CCC[C@H]1[C@H](O)[C@@H](N)[C@@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)O[C@@H]1CO,C1CCC(OC2COC(OC3CCCCC3OC3CCCCO3)C2)OC1,641.716,-6.8063000000000144,18,12,True,7.51
CHEMBL184618,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,7.5,IC50,32.0,CHEMBL2363135,Bacteria,70S_ribosome,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,C1CCC(OC2COC(OC3CCCCC3OC3CCCCO3)C2)OC1,614.6500000000003,-8.895300000000017,19,13,True,7.5
CHEMBL5185367,CCCCCCCCCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCNCCCCNCCCN,7.47,Ki,33.8,CHEMBL2363135,Bacteria,70S_ribosome,CCCCCCCCCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCNCCCCNCCCN,O=C(NCC(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1C(=O)N1CCCC1)C1CCCN1,1213.6339999999998,-0.8501900000000231,14,16,True,7.47
CHEMBL5428248,CS[C@H]1O[C@H]([C@H](NC(=O)[C@H]2NC[C@@H]3C[C@H](CC(C)C)CCO[C@H]32)[C@H](C)Cl)[C@H](O)[C@H](O)[C@H]1O.O=CO,7.47,Kd,34.0,CHEMBL2363135,Bacteria,70S_ribosome,CS[C@H]1O[C@H]([C@H](NC(=O)[C@H]2NC[C@@H]3C[C@H](CC(C)C)CCO[C@H]32)[C@H](C)Cl)[C@H](O)[C@H](O)[C@H]1O.O=CO,O=C(NCC1CCCCO1)C1NCC2CCCCOC21,541.1070000000003,0.3992000000000028,9,6,True,7.47
CHEMBL1234521,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,7.44,Kd,36.3,CHEMBL2363135,Bacteria,70S_ribosome,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,O=C1CCC23CCCCCC(CCC2)C13,493.75400000000036,4.967900000000006,6,1,True,7.44
CHEMBL370143,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,7.42,IC50,38.0,CHEMBL2363135,Bacteria,70S_ribosome,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,C1CCC(OC2COC(OC3CCCCC3OC3CCCCO3)C2)OC1,615.6340000000004,-8.861700000000015,19,13,True,7.42
CHEMBL4750017,C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@H](C)O)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,7.398,IC50,40000.0,CHEMBL2363135,Bacteria,70S_ribosome,C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@H](C)O)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,O=C(NCCc1c[nH]cn1)C1CCCN1,1006.1809999999994,-5.833830000000028,16,17,True,7.398
CHEMBL4750287,C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCCCN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,7.398,IC50,40000.0,CHEMBL2363135,Bacteria,70S_ribosome,C[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CCCCN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,O=C(NCCc1c[nH]cn1)C1CCCN1,992.1539999999994,-6.2223300000000235,16,17,True,7.398
CHEMBL4756487,CO[C@@H](CN)[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,7.398,IC50,40000.0,CHEMBL2363135,Bacteria,70S_ribosome,CO[C@@H](CN)[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,O=C(NCCc1c[nH]cn1)C1CCCN1,1035.222999999999,-6.240930000000016,17,17,True,7.398
CHEMBL4740047,C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@H](O)CN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,7.398,IC50,40000.0,CHEMBL2363135,Bacteria,70S_ribosome,C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@H](O)CN)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,O=C(NCCc1c[nH]cn1)C1CCCN1,1021.1959999999993,-6.895030000000014,17,18,True,7.398
CHEMBL4754782,C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)[C@H](C)N)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,7.398,IC50,40000.0,CHEMBL2363135,Bacteria,70S_ribosome,C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@@H](O)[C@H](C)N)C(=O)NCC(=O)N[C@H](CCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N/C(=C\CCNC(=N)N)C(=O)O,O=C(NCCc1c[nH]cn1)C1CCCN1,1035.2229999999993,-6.506530000000013,17,18,True,7.398
