model_id,model_name,model_type,aro_accession,aro_name,target_resistance_family,drug_classes,resistance_mechanisms,reference_taxa,n_model_sequences,has_snp_data,source,source_url,card_version
2,CblA-1,protein homolog model,3002999,CblA-1,Beta-lactamase,cephalosporin,antibiotic inactivation,mixed culture bacterium AX_gF3SD01_15,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
4,SHV-52,protein homolog model,3001109,SHV-52,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Klebsiella pneumoniae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
5,dfrF,protein homolog model,3002867,dfrF,Beta-lactamase,diaminopyrimidine antibiotic,antibiotic target replacement,Enterococcus faecalis,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
7,CTX-M-130,protein homolog model,3001989,CTX-M-130,Beta-lactamase,azole antibiotic;cephalosporin;imidazole antibiotic,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
8,NDM-6,protein homolog model,3002356,NDM-6,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
9,ACT-35,protein homolog model,3001855,ACT-35,Beta-lactamase,carbapenem;cephalosporin;penicillin beta-lactam,antibiotic inactivation,Enterobacter cloacae,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
10,CARB-5,protein homolog model,3002244,CARB-5,Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,Acinetobacter calcoaceticus subsp. anitratus,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
11,Erm(34),protein homolog model,3000600,Erm(34),Beta-lactamase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Alkalihalobacillus clausii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
12,TEM-126,protein homolog model,3000988,TEM-126,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Escherichia coli,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
13,LRA-12,protein homolog model,3002511,LRA-12,Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,uncultured bacterium BLR12,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
14,TEM-72,protein homolog model,3000938,TEM-72,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Morganella morganii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
15,TEM-59,protein homolog model,3000928,TEM-59,Beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Klebsiella oxytoca,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
16,KPC-10,protein homolog model,3002320,KPC-10,Beta-lactamase,carbapenem;cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,Acinetobacter baumannii,1,False,CARD latest data archive,https://card.mcmaster.ca/latest/data,4.0.2
