compound,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,series
BI-1,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,BI-series
BI-6,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,BI-series
OX-11,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,OX/T2Z-series
T2Z14,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,OX/T2Z-series
T2Z5,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,OX/T2Z-series
T2Z6,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,OX/T2Z-series
T2Z9,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,OX/T2Z-series
X1V11,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,X1V-series
X1V19,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,X1V-series
X1V20,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,X1V-series
X1V26,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,X1V-series
X1V9,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,X1V-series
