organism,target_class,mean_score,median_score,max_score,n_compounds,mean_ecfp4,mean_maccs,mean_sar_bonus,n_references
Acinetobacter baumannii,GyrB,0.393627781046048,0.4233684055250956,0.5105234098965983,12,0.2662319820742139,0.7315148041359709,0.006666666666666667,253
Acinetobacter baumannii,MurC,0.3500273741253592,0.35776163085678075,0.4393949417924782,12,0.24051383151959005,0.6713367369031707,0.006666666666666667,167
Acinetobacter baumannii,FabI,0.26858809583756993,0.262928411935091,0.3057216983086723,12,0.2059049729717893,0.5990898834185786,0.006666666666666667,331
Acinetobacter baumannii,LpxA,0.14629153708176754,0.17059402710282634,0.2479794138474693,12,0.1479274689852215,0.5152107905727646,0.0,1
Acinetobacter baumannii,PBP2a,0.02649436970503446,0.02773780541054745,0.0375750048163841,12,0.12552311293965437,0.5174705023154392,0.0,17
Bacillus cereus,GyrB,0.393627781046048,0.4233684055250956,0.5105234098965983,12,0.2662319820742139,0.7315148041359709,0.006666666666666667,253
Bacillus cereus,FabI,0.26858809583756993,0.262928411935091,0.3057216983086723,12,0.2059049729717893,0.5990898834185786,0.006666666666666667,331
Bacillus cereus,MurA,0.24590148114294452,0.24786460084901435,0.3005166322986811,12,0.1968190264189581,0.5446868616646982,0.006666666666666667,94
Bacillus cereus,FtsZ,0.23373175835485047,0.2226476499298316,0.3451516407396864,12,0.185159063297216,0.5146183365681647,0.006666666666666667,67
Bacillus cereus,DHFR,0.2083056994902469,0.22157166346712426,0.297241333648583,12,0.16912695194714233,0.5818412758288961,0.0,232
Escherichia coli,GyrB,0.393627781046048,0.4233684055250956,0.5105234098965983,12,0.2662319820742139,0.7315148041359709,0.006666666666666667,253
Escherichia coli,LpxC,0.2735659558280544,0.2747602036084431,0.3240253284726968,12,0.20709662543327953,0.560097063304518,0.0,600
Escherichia coli,FabI,0.26858809583756993,0.262928411935091,0.3057216983086723,12,0.2059049729717893,0.5990898834185786,0.006666666666666667,331
Escherichia coli,MurA,0.24590148114294452,0.24786460084901435,0.3005166322986811,12,0.1968190264189581,0.5446868616646982,0.006666666666666667,94
Escherichia coli,DHFR,0.2083056994902469,0.22157166346712426,0.297241333648583,12,0.16912695194714233,0.5818412758288961,0.0,232
Klebsiella pneumoniae,TopoIV,0.3120873099053689,0.3125976505209027,0.4365943100488167,12,0.2201721696708112,0.6318146870998876,0.006666666666666667,190
Klebsiella pneumoniae,FabI,0.26858809583756993,0.262928411935091,0.3057216983086723,12,0.2059049729717893,0.5990898834185786,0.006666666666666667,331
Klebsiella pneumoniae,LpxH,0.2555774916983836,0.250361517896754,0.3124650503971362,12,0.17351407314280629,0.6876862564571745,0.006666666666666667,252
Klebsiella pneumoniae,MurA,0.24590148114294452,0.24786460084901435,0.3005166322986811,12,0.1968190264189581,0.5446868616646982,0.006666666666666667,94
Klebsiella pneumoniae,DHFR,0.2083056994902469,0.22157166346712426,0.297241333648583,12,0.16912695194714233,0.5818412758288961,0.0,232
MRSA / Staphylococcus aureus,GyrB,0.4012710389304373,0.431589151263447,0.5204364858169206,12,0.2662319820742139,0.7315148041359709,0.006666666666666667,253
MRSA / Staphylococcus aureus,FabI,0.26858809583756993,0.262928411935091,0.3057216983086723,12,0.2059049729717893,0.5990898834185786,0.006666666666666667,331
MRSA / Staphylococcus aureus,FtsZ,0.2292797248623771,0.21840674231212054,0.3385773237732162,12,0.185159063297216,0.5146183365681647,0.006666666666666667,67
MRSA / Staphylococcus aureus,DHFR,0.2083056994902469,0.22157166346712426,0.297241333648583,12,0.16912695194714233,0.5818412758288961,0.0,232
MRSA / Staphylococcus aureus,PBP2a,0.14571903337768974,0.15255792975801125,0.2066625264901126,12,0.12552311293965437,0.5174705023154392,0.0,17
Proteus mirabilis,GyrB,0.393627781046048,0.4233684055250956,0.5105234098965983,12,0.2662319820742139,0.7315148041359709,0.006666666666666667,253
Proteus mirabilis,LpxC,0.2735659558280544,0.2747602036084431,0.3240253284726968,12,0.20709662543327953,0.560097063304518,0.0,600
Proteus mirabilis,FabI,0.26858809583756993,0.262928411935091,0.3057216983086723,12,0.2059049729717893,0.5990898834185786,0.006666666666666667,331
Proteus mirabilis,MurA,0.24590148114294452,0.24786460084901435,0.3005166322986811,12,0.1968190264189581,0.5446868616646982,0.006666666666666667,94
Proteus mirabilis,DHFR,0.2083056994902469,0.22157166346712426,0.297241333648583,12,0.16912695194714233,0.5818412758288961,0.0,232
