compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier,organism,organism_adjusted_score,panel_rank,panel_target_count,organism_target_panel,justification
BI-1,TopoIV,0.2289156626506024,0.2109827454353726,0.625,CHEMBL4793192,6.54,290.0,CHEMBL3038508,S. aureus complex,190,0.2125,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.23439211391018613,0.2910727676341613,0.7500000000000001,0.0,0.30246424886363343,1.05,low,Klebsiella pneumoniae,0.31758746130681514,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
BI-1,FabI,0.2073170731707317,0.1938908208186292,0.5633802816901409,CHEMBL259268,5.75,1800.0,CHEMBL1075044,B. subtilis,331,0.2023809523809523,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.19512195121951215,0.2530907129302871,0.6619718309859156,0.0,0.2601294284902152,1.0,low,Klebsiella pneumoniae,0.2601294284902152,2,5,DHFR; FabI; TopoIV; MurA; LpxH,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
BI-6,TopoIV,0.2588235294117647,0.2251676353477699,0.6388888888888888,CHEMBL4793192,6.54,290.0,CHEMBL3038508,S. aureus complex,190,0.2289156626506024,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.28877005347593576,0.3225947452172664,0.7698412698412699,0.0,0.340509903518475,1.05,low,Klebsiella pneumoniae,0.35753539869439876,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
BI-6,LpxH,0.2,0.1836155202821869,0.640625,CHEMBL5653589,9.12,0.753,CHEMBL5855,E. coli,252,0.2,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.23025671173819307,0.7723214285714286,0.0,0.26432148312935344,1.05,low,Klebsiella pneumoniae,0.27753755728582113,2,5,DHFR; FabI; TopoIV; MurA; LpxH,LpxH is a metal-dependent phosphodiesterase in lipid-A biosynthesis; target ranking is exploratory because the reference set is structurally heterogeneous.
OX-11,FabI,0.1979166666666666,0.1897944071989754,0.7012987012987013,CHEMBL45433,6.03,940.0,CHEMBL3994,S. aureus,331,0.196078431372549,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.1780303030303029,0.24398757155327863,0.8589981447124305,0.0,0.27886176611033564,1.0,low,Klebsiella pneumoniae,0.27886176611033564,1,5,DHFR; FabI; TopoIV; MurA; LpxH,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
OX-11,TopoIV,0.1826923076923076,0.1698572647879166,0.7011494252873564,CHEMBL4465692,5.51,3100.0,CHEMBL1895,E. coli ParC,190,0.174757281553398,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.15034965034965014,0.19968281063981466,0.8587848932676521,0.0,0.2539132618249266,1.05,low,Klebsiella pneumoniae,0.26660892491617294,2,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
T2Z14,FabI,0.1743119266055046,0.1688334333914077,0.7051282051282052,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.1711711711711711,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.13511259382819016,0.19740762975868376,0.8644688644688646,0.02,0.2665785340240957,1.0,low,Klebsiella pneumoniae,0.2665785340240957,1,5,DHFR; FabI; TopoIV; MurA; LpxH,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
T2Z14,LpxH,0.1578947368421052,0.1436435756297264,0.7037037037037037,CHEMBL4549667,6.0,1000.0,CHEMBL5855,E. coli,252,0.1504424778761062,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.10526315789473671,0.14143016806605868,0.8624338624338626,0.02,0.2373542003289624,1.05,low,Klebsiella pneumoniae,0.24922191034541052,2,5,DHFR; FabI; TopoIV; MurA; LpxH,LpxH is a metal-dependent phosphodiesterase in lipid-A biosynthesis; target ranking is exploratory because the reference set is structurally heterogeneous.
T2Z5,FabI,0.1764705882352941,0.1695140197976128,0.6578947368421053,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.174757281553398,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.13903743315508016,0.1989200439946951,0.7969924812030077,0.02,0.258797599756665,1.0,low,Klebsiella pneumoniae,0.258797599756665,1,5,DHFR; FabI; TopoIV; MurA; LpxH,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
T2Z5,TopoIV,0.1623931623931624,0.1572009013798053,0.6888888888888889,CHEMBL4294536,6.4,400.0,CHEMBL3329081,E. coli ParE,190,0.1610169491525423,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.11344211344211344,0.17155755862178956,0.8412698412698414,0.02,0.2458009225669803,1.05,low,Klebsiella pneumoniae,0.2580909686953293,2,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
