compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier
BI-1,DHFR,0.1818181818181818,0.1756493506493506,0.5967741935483871,CHEMBL177230,5.96,1090.0,CHEMBL2329,C. albicans,232,0.175,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.14876033057851235,0.21255411255411247,0.7096774193548389,0.0,0.23397030633101012,1.0,low
BI-6,DHFR,0.175,0.1721056910569106,0.5873015873015873,CHEMBL31055,6.57,269.15,CHEMBL2627,E. coli,232,0.1733333333333333,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.13636363636363633,0.2046793134598013,0.6961451247165534,0.0,0.2237734152542515,1.0,low
OX-11,DHFR,0.1348314606741573,0.1297898071562032,0.65,CHEMBL31055,6.57,269.15,CHEMBL2627,E. coli,232,0.1290322580645161,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.0633299284984678,0.11064401590267377,0.7857142857142858,0.0,0.1771831110820452,1.0,low
T2Z14,DHFR,0.1214953271028037,0.1204343311210438,0.5952380952380952,CHEMBL3234324,7.43,37.0,CHEMBL2329,C. albicans,232,0.1203703703703703,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.03908241291418853,0.08985406915787512,0.707482993197279,0.0,0.1481271727261549,1.0,low
T2Z5,DHFR,0.1195652173913043,0.1175211105668033,0.5647058823529412,CHEMBL170900,8.89,1.3,CHEMBL2329,C. albicans,232,0.1182795698924731,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.03557312252964416,0.08338024570400732,0.6638655462184875,0.0,0.13821145462359702,1.0,low
T2Z6,DHFR,0.1333333333333333,0.1217850312380466,0.5647058823529412,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.1195652173913043,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.06060606060606054,0.09285562497343688,0.6638655462184875,0.0,0.1530967684791626,1.0,low
T2Z9,DHFR,0.1224489795918367,0.1210110835611503,0.5952380952380952,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.1214953271028037,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.04081632653061218,0.09113574124700066,0.707482993197279,0.0,0.1493145475566481,1.0,low
X1V11,DHFR,0.2238805970149253,0.212116614728555,0.6190476190476191,CHEMBL369237,5.5,3180.0,CHEMBL2329,C. albicans,232,0.2142857142857142,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.22523744911804597,0.2935924771745667,0.7414965986394559,0.0,0.297241333648583,1.0,low
X1V19,DHFR,0.2142857142857142,0.1717385487289728,0.5238095238095238,CHEMBL120783,6.5,320.0,CHEMBL2329,C. albicans,232,0.188235294117647,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.20779220779220758,0.20386344161993952,0.6054421768707484,0.0,0.24567829083170095,1.0,low
X1V20,DHFR,0.1830985915492957,0.1636883929841676,0.5542168674698795,CHEMBL57459,7.05,90.0,CHEMBL2627,E. coli,232,0.1690140845070422,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.1510883482714467,0.18597420663148354,0.6488812392426851,0.0,0.219369911679997,1.0,low
