compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
BI-1,DHFR,0.18181818181818182,0.17564935064935067,0.5967741935483871,CHEMBL177230,5.96,1090.0,CHEMBL2329,C. albicans,232,0.175,0,0
BI-6,DHFR,0.175,0.1721056910569106,0.5873015873015873,CHEMBL31055,6.57,269.15,CHEMBL2627,E. coli,232,0.17333333333333334,0,0
OX-11,DHFR,0.1348314606741573,0.1297898071562032,0.65,CHEMBL31055,6.57,269.15,CHEMBL2627,E. coli,232,0.12903225806451613,0,0
T2Z14,DHFR,0.12149532710280374,0.12043433112104382,0.5952380952380952,CHEMBL3234324,7.43,37.0,CHEMBL2329,C. albicans,232,0.12037037037037036,0,0
T2Z5,DHFR,0.11956521739130435,0.11752111056680334,0.5647058823529412,CHEMBL170900,8.89,1.3,CHEMBL2329,C. albicans,232,0.11827956989247312,0,0
T2Z6,DHFR,0.13333333333333333,0.12178503123804667,0.5647058823529412,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.11956521739130435,0,0
T2Z9,DHFR,0.12244897959183673,0.12101108356115031,0.5952380952380952,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.12149532710280374,0,0
X1V11,DHFR,0.22388059701492538,0.21211661472855506,0.6190476190476191,CHEMBL369237,5.5,3180.0,CHEMBL2329,C. albicans,232,0.21428571428571427,0,0
X1V19,DHFR,0.21428571428571427,0.17173854872897282,0.5238095238095238,CHEMBL120783,6.5,320.0,CHEMBL2329,C. albicans,232,0.18823529411764706,0,0
X1V20,DHFR,0.18309859154929578,0.16368839298416765,0.5542168674698795,CHEMBL57459,7.05,90.0,CHEMBL2627,E. coli,232,0.16901408450704225,0,0
X1V26,DHFR,0.2028985507246377,0.16774268801213074,0.5888888888888889,CHEMBL174753,5.55,2810.0,CHEMBL2329,C. albicans,232,0.18309859154929578,0,0
