compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5
BI-1,GyrB,0.375,0.317451558103732,0.48,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3623188405797101,0,0
BI-1,Gyr,0.3283582089552239,0.2806313275041551,0.5245901639344263,CHEMBL472525,6.33,470.0,CHEMBL3038482,S. aureus complex,600,0.273972602739726,0,0
BI-1,DHPS,0.2631578947368421,0.1986842105263158,0.696969696969697,CHEMBL3233211,5.8,1600.0,CHEMBL2364668,Bacteria,22,0.2,0,0
BI-1,FtsZ,0.25,0.2118780096308186,0.4366197183098591,CHEMBL1651196,5.21,6210.0,CHEMBL4213,M. tuberculosis,67,0.2142857142857142,0,0
BI-1,MurC,0.2345679012345679,0.2308341850608478,0.5070422535211268,CHEMBL3622702,6.2,630.0,CHEMBL2541,E. coli MurF,167,0.2317073170731707,0,0
BI-1,TopoIV,0.2289156626506024,0.2109827454353726,0.6029411764705882,CHEMBL4793192,6.54,290.0,CHEMBL3038508,S. aureus complex,190,0.2125,0,0
BI-1,FabI,0.2073170731707317,0.1938908208186292,0.4776119402985074,CHEMBL259268,5.75,1800.0,CHEMBL1075044,B. subtilis,331,0.2023809523809523,0,0
BI-1,LpxC,0.2051282051282051,0.1988599194232997,0.3176470588235294,CHEMBL3647226,8.02,9.55,CHEMBL3855,P. aeruginosa,600,0.2,0,0
BI-1,FabH,0.1948051948051948,0.1334206832838844,0.4098360655737705,CHEMBL370931,5.62,2400.0,CHEMBL3822,H. influenzae,6,0.1666666666666666,0,0
BI-1,MurA,0.1931818181818181,0.1841557499104668,0.5416666666666666,CHEMBL5220749,4.77,17000.0,CHEMBL1984,E. coli,94,0.1868131868131868,0,0
BI-1,LpxH,0.1842105263157894,0.170845743420252,0.4035087719298245,CHEMBL5091645,6.91,123.0,CHEMBL5855,E. coli,252,0.1710526315789473,0,0
BI-1,DHFR,0.1818181818181818,0.1756493506493506,0.360655737704918,CHEMBL177230,5.96,1090.0,CHEMBL2329,C. albicans,232,0.175,0,0
BI-1,LpxA,0.1818181818181818,0.1818181818181818,0.5,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
BI-1,PBP2a,0.1290322580645161,0.1149058813228787,0.4210526315789473,CHEMBL4636498,7.6,25.0,CHEMBL6128,S. aureus PBP2,17,0.1170212765957446,0,0
BI-6,GyrB,0.3164556962025316,0.2783629095754346,0.4736842105263157,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3026315789473684,0,0
BI-6,Gyr,0.3026315789473684,0.2883007943670107,0.4393939393939394,CHEMBL3329291,7.0,99.0,CHEMBL2094139,E. coli complex,600,0.2911392405063291,0,0
BI-6,TopoIV,0.2588235294117647,0.2251676353477699,0.6176470588235294,CHEMBL4793192,6.54,290.0,CHEMBL3038508,S. aureus complex,190,0.2289156626506024,0,0
BI-6,DHPS,0.2469135802469135,0.1940585179411455,0.7121212121212122,CHEMBL3233211,5.8,1600.0,CHEMBL2364668,Bacteria,22,0.1860465116279069,0,0
BI-6,LpxC,0.2317073170731707,0.217460910969692,0.3372093023255814,CHEMBL3647252,9.05,0.883,CHEMBL3855,P. aeruginosa,600,0.2234042553191489,0,0
BI-6,FtsZ,0.2298850574712643,0.2044409553150953,0.4736842105263157,CHEMBL1651202,5.11,7690.0,CHEMBL4213,M. tuberculosis,67,0.2209302325581395,0,0
BI-6,MurC,0.2065217391304347,0.2026389706500714,0.5138888888888888,CHEMBL6149895,5.29,5160.0,CHEMBL2541,E. coli MurF,167,0.2045454545454545,0,0
BI-6,LpxH,0.2,0.1836155202821869,0.4925373134328358,CHEMBL5653589,9.12,0.753,CHEMBL5855,E. coli,252,0.2,0,0
BI-6,MurA,0.1956521739130435,0.1887764030624409,0.5342465753424658,CHEMBL5219288,4.82,15000.0,CHEMBL1984,E. coli,94,0.1914893617021276,0,0
BI-6,FabI,0.1954022988505747,0.1821013863020578,0.4925373134328358,CHEMBL259268,5.75,1800.0,CHEMBL1075044,B. subtilis,331,0.1836734693877551,0,0
BI-6,FabH,0.1839080459770115,0.1355959140338035,0.5147058823529411,CHEMBL5555396,5.7,2000.0,CHEMBL4914,E. coli,6,0.1686746987951807,0,0
BI-6,DHFR,0.175,0.1721056910569106,0.5873015873015873,CHEMBL31055,6.57,269.15,CHEMBL2627,E. coli,232,0.1733333333333333,0,0
BI-6,LpxA,0.1720430107526881,0.1720430107526881,0.5135135135135135,CHEMBL4871671,4.301029995663981,50000.0,CHEMBL4879550,E. coli LpxA,1,0.0,0,0
BI-6,PBP2a,0.134020618556701,0.1217855332792159,0.4342105263157895,CHEMBL4636498,7.6,25.0,CHEMBL6128,S. aureus PBP2,17,0.1224489795918367,0,0
OX-11,MurC,0.29,0.2703727759114097,0.7195121951219512,CHEMBL5090659,5.0,10000.0,CHEMBL2541,E. coli MurF,167,0.2736842105263158,0,0
OX-11,GyrB,0.2083333333333333,0.1963518325516762,0.6447368421052632,CHEMBL3736056,7.89,13.0,CHEMBL1921666,S. aureus,253,0.1979166666666666,0,0
