target_class,search_term,pdb_id,source_url,search_status,search_error,experimental_method,resolution_A,nonpolymer_ligands,co_crystal_ligand_present,active_site_evidence,structure_metadata_status
DHFR,dihydrofolate reductase bacterial,5XV5,https://www.rcsb.org/structure/5XV5,text_search_candidate,,X-RAY DIFFRACTION,2.5,,False,no non-solvent ligand reported in entry metadata,retrieved
DHFR,dihydrofolate reductase bacterial,5XUX,https://www.rcsb.org/structure/5XUX,text_search_candidate,,X-RAY DIFFRACTION,2.27,,False,no non-solvent ligand reported in entry metadata,retrieved
DHPS,dihydropteroate synthase bacterial,1AJZ,https://www.rcsb.org/structure/1AJZ,text_search_candidate,,X-RAY DIFFRACTION,2.0,,False,no non-solvent ligand reported in entry metadata,retrieved
DHPS,dihydropteroate synthase bacterial,1AJ2,https://www.rcsb.org/structure/1AJ2,text_search_candidate,,X-RAY DIFFRACTION,2.0,,False,no non-solvent ligand reported in entry metadata,retrieved
FabI,enoyl ACP reductase FabI bacterial,1LX6,https://www.rcsb.org/structure/1LX6,text_search_candidate,,X-RAY DIFFRACTION,2.4,,False,no non-solvent ligand reported in entry metadata,retrieved
FabI,enoyl ACP reductase FabI bacterial,1LXC,https://www.rcsb.org/structure/1LXC,text_search_candidate,,X-RAY DIFFRACTION,2.4,,False,no non-solvent ligand reported in entry metadata,retrieved
FabH,beta-ketoacyl ACP synthase III FabH,9KA2,https://www.rcsb.org/structure/9KA2,text_search_candidate,,X-RAY DIFFRACTION,1.5,,False,no non-solvent ligand reported in entry metadata,retrieved
FabH,beta-ketoacyl ACP synthase III FabH,9KA5,https://www.rcsb.org/structure/9KA5,text_search_candidate,,X-RAY DIFFRACTION,1.42,,False,no non-solvent ligand reported in entry metadata,retrieved
FtsZ,FtsZ bacterial,1OFU,https://www.rcsb.org/structure/1OFU,text_search_candidate,,X-RAY DIFFRACTION,2.1,,False,no non-solvent ligand reported in entry metadata,retrieved
FtsZ,FtsZ bacterial,5ZUE,https://www.rcsb.org/structure/5ZUE,text_search_candidate,,X-RAY DIFFRACTION,2.7,,False,no non-solvent ligand reported in entry metadata,retrieved
GyrB,DNA gyrase B bacterial ATPase,3G7E,https://www.rcsb.org/structure/3G7E,text_search_candidate,,X-RAY DIFFRACTION,2.2,,False,no non-solvent ligand reported in entry metadata,retrieved
GyrB,DNA gyrase B bacterial ATPase,3G75,https://www.rcsb.org/structure/3G75,text_search_candidate,,X-RAY DIFFRACTION,2.3,,False,no non-solvent ligand reported in entry metadata,retrieved
TopoIV,topoisomerase IV ParE ParC bacterial,9KGT,https://www.rcsb.org/structure/9KGT,text_search_candidate,,X-RAY DIFFRACTION,3.05,,False,no non-solvent ligand reported in entry metadata,retrieved
